Aeronave,Destination_Type,Origin_Type,Capacity,Passengers,Bookings,Route,STD_Month,STA_Month,STD_Block,STA_Block
XA-VXD,3,3,240,,,69,1,1,9,13
XA-VIE,3,1,186,,,62,3,3,20,23
XA-VIL,3,5,186,,,65,3,3,15,18
XA-VAE,3,1,186,,,58,2,2,16,19
XA-VAA,3,1,186,,,62,1,1,17,20
9H-MLU,3,1,178,,,68,4,4,12,16
XA-VXP,3,1,240,,,58,1,1,7,10
XA-VAQ,3,1,186,,,58,3,3,16,19
XA-VCC,3,1,230,,,64,1,1,13,16
XA-VBI,3,1,220,,,64,1,1,20,23
9H-MLV,3,1,178,,,58,5,5,8,11
XA-VXE,3,1,240,,,64,4,4,7,10
XA-VAY,3,1,186,,,58,4,4,12,16
9H-SWC,3,1,178,,,58,1,1,17,21
XA-VAK,3,3,186,,,63,3,3,12,14
XA-VYA,3,1,180,,,62,4,4,13,16
XA-VYE,3,5,180,,,65,4,4,17,19
XA-VAP,3,1,186,,,64,3,3,23,2
9H-SWG,3,3,178,,,56,4,4,21,24
XA-VBV,3,1,220,,,58,3,3,10,13
XA-VCC,3,3,230,,,69,2,2,9,13
XA-VYF,3,1,180,,,62,4,4,19,22
9H-SWG,3,1,178,,,64,4,4,21,24
XA-VYF,3,3,180,,,66,2,2,7,10
XA-VAE,3,3,186,,,67,2,2,21,23
9H-SWF,3,1,178,,,68,1,1,17,21
XA-VBU,3,1,220,,,58,1,1,10,14
XA-VYB,3,1,180,,,62,2,2,20,23
XA-VAM,3,1,180,,,58,4,4,12,16
9H-SWM,3,1,178,,,58,1,1,7,10
9H-MLB,3,1,178,,,68,3,3,17,21
XA-VAP,3,1,186,,,64,1,1,8,11
XA-VIY,3,3,186,,,59,2,2,15,19
XA-VIY,3,1,186,,,64,2,2,8,11
XA-VIU,3,2,186,,,70,1,1,23,6
XA-VIA,3,3,186,,,66,1,1,7,10
9H-SWG,3,1,178,,,62,4,4,9,12
XA-VAO,3,1,186,,,68,3,3,13,16
XA-VIE,3,1,186,,,64,2,2,8,11
XA-VAA,3,3,186,,,61,3,3,11,13
XA-VAQ,3,1,186,,,62,2,2,13,16
XA-VIU,3,1,186,,,64,1,1,8,11
XA-VAN,3,1,186,,,62,2,2,11,14
XA-VAP,3,1,186,,,64,2,2,9,12
9H-AMJ,3,1,178,,,58,5,5,14,17
9H-MLV,3,1,178,,,58,2,2,7,10
XA-VIN,3,5,186,,,65,4,4,16,19
XA-VAA,3,5,186,,,65,4,4,16,19
9H-AMV,3,1,178,,,58,5,5,18,21
XA-VBY,3,3,240,,,69,1,1,9,13
XA-VAY,3,1,186,,,62,3,3,17,20
9H-SWB,3,1,178,,,62,3,3,11,14
XA-VYF,3,3,180,,,73,1,1,10,14
XA-VBQ,3,2,220,,,57,1,1,8,13
XA-VXD,3,1,240,,,58,1,1,7,10
XA-VXG,3,1,240,,,64,1,1,18,22
XA-VYA,3,3,180,,,59,4,4,10,14
XA-VYF,3,1,180,,,64,4,4,23,2
XA-VAK,3,1,186,,,62,2,2,13,16
XA-VXK,3,1,240,,,64,2,2,11,14
XA-VAR,3,3,186,,,66,1,1,19,22
XA-VXN,3,2,240,,,57,1,1,8,13
9H-SWD,3,1,178,,,62,4,4,9,12
9H-SWC,3,1,178,,,68,3,3,12,16
XA-VAP,3,3,186,,,56,3,3,21,24
XA-VYA,3,3,180,,,72,3,3,8,12
XA-VBA,3,1,240,,,58,1,1,10,13
XA-VAU,3,1,186,,,64,1,1,7,10
XA-VAO,3,3,186,,,67,1,1,20,23
XA-VIP,3,3,186,,,59,3,3,15,19
XA-VAA,3,1,186,,,62,3,3,13,16
XA-VII,3,1,186,,,64,3,3,8,11
XA-VYA,3,1,180,,,62,4,4,7,10
XA-VBX,3,1,240,,,58,2,2,10,13
XA-VAC,3,3,180,,,60,2,2,16,19
XA-VAQ,3,1,186,,,58,2,2,16,19
XA-VYE,3,3,180,,,60,4,4,10,13
9H-SWD,3,3,178,,,61,4,4,19,21
XA-VAU,3,1,186,,,62,2,2,17,20
XA-VAE,3,5,186,,,65,2,2,16,18
9H-SWG,3,3,178,,,73,4,4,20,24
XA-VAO,3,5,186,,,65,2,2,15,18
XA-VAW,3,1,186,,,62,4,4,19,22
XA-VIP,3,1,186,,,64,3,3,18,22
9H-MLX,3,1,178,,,58,1,1,13,17
9H-SWD,3,3,178,,,67,4,4,21,24
XA-VBX,3,1,240,,,64,2,2,7,10
9H-SWF,3,1,178,,,68,4,4,17,21
XA-VAU,3,3,186,,,61,2,2,19,22
XA-VXM,3,1,240,,,64,4,4,17,21
XA-VXP,3,3,240,,,66,4,4,19,22
XA-VBJ,3,1,220,,,64,4,4,17,21
XA-VYE,3,1,180,,,64,4,4,23,2
XA-VIN,3,1,186,,,64,4,4,23,2
XA-VXP,3,2,240,,,70,1,1,8,15
XA-VIF,3,1,186,,,68,1,1,12,16
XA-VAO,3,3,186,,,67,2,2,20,22
XA-VIS,3,1,186,,,62,2,2,11,14
XA-VAM,3,3,180,,,67,1,1,20,23
9H-AMP,3,1,178,,,58,3,3,13,17
XA-VAM,3,3,180,,,61,1,1,20,23
9H-SWG,3,1,178,,,58,4,4,11,14
XA-VAJ,3,3,186,,,72,3,3,8,12
XA-VIS,3,3,186,,,67,1,1,11,14
XA-VXK,3,2,240,,,70,2,2,8,15
XA-VXI,3,1,240,,,58,4,4,10,13
XA-VAK,3,3,186,,,60,3,3,16,19
XA-VAO,3,3,186,,,61,2,2,10,12
XA-VAX,3,1,186,,,68,2,2,13,16
XA-VBP,3,1,220,,,58,5,5,10,13
XA-VYD,3,3,180,,,66,2,2,7,10
XA-VXI,3,1,240,,,58,2,2,10,13
XA-VXI,3,1,240,,,64,1,1,7,10
XA-VIX,3,5,186,,,65,3,3,22,1
9H-MLY,3,2,178,,,57,1,1,8,13
9H-SWB,3,1,178,,,58,2,2,17,21
9H-AMP,3,1,178,,,58,3,3,17,21
XA-VIM,3,1,186,,,58,1,1,11,14
9H-MLU,3,1,178,,,68,4,4,12,16
XA-VAY,3,1,186,,,64,3,3,24,3
XA-VAQ,3,3,186,,,63,3,3,12,14
XA-VBQ,3,3,220,,,72,1,1,8,12
XA-VAO,3,1,186,,,64,2,2,9,13
XA-VXN,3,1,240,,,58,3,3,10,13
XA-VBH,3,3,240,,,61,1,1,23,2
XA-VAQ,3,1,186,,,62,1,1,11,14
XA-VXN,3,1,240,,,64,4,4,7,10
9H-SWG,3,3,178,,,63,4,4,11,13
XA-VAO,3,3,186,,,61,1,1,10,12
9H-AMP,3,2,178,,,57,4,4,9,13
XA-VBX,3,3,240,,,66,5,5,7,10
XA-VBS,3,1,240,,,64,1,1,20,23
XA-VAN,3,1,186,,,58,3,3,16,19
9H-MLC,3,1,178,,,68,5,5,17,21
XA-VAQ,3,3,186,,,61,3,3,19,22
XA-VAQ,3,1,186,,,62,2,2,17,20
XA-VYF,3,1,180,,,64,4,4,9,12
XA-VAO,3,3,186,,,67,2,2,20,23
XA-VAQ,3,3,186,,,59,1,1,15,19
XA-VIP,3,3,186,,,72,4,4,10,14
XA-VXI,3,2,240,,,57,3,3,8,13
XA-VXQ,3,1,240,,,64,4,4,17,21
XA-VBY,3,1,240,,,64,3,3,7,10
XA-VIL,3,3,186,,,60,2,2,16,19
XA-VBX,3,1,240,,,64,2,2,11,14
9H-AMM,3,1,178,,,58,3,3,19,22
XA-VXO,3,3,240,,,69,3,3,10,14
XA-VBM,3,1,240,,,64,4,4,7,10
XA-VAK,3,5,186,,,65,1,1,15,18
XA-VAY,3,3,186,,,61,3,3,11,14
XA-VAE,3,2,186,,,70,1,1,23,6
9H-AMV,3,1,178,,,58,4,4,14,17
XA-VXK,3,1,240,,,64,2,2,13,16
XA-VXA,3,3,240,,,72,1,1,8,12
XA-VXI,3,1,240,,,64,1,1,11,14
XA-VAE,3,1,186,,,64,1,1,20,23
XA-VXK,3,1,240,,,64,2,2,18,22
XA-VIX,3,1,186,,,62,4,4,7,10
9H-MLY,3,1,178,,,58,3,3,13,17
XA-VBQ,3,1,220,,,64,4,4,17,21
XA-VBQ,3,3,220,,,66,4,4,19,22
XA-VAJ,3,3,186,,,66,1,1,7,10
XA-VAJ,3,3,186,,,60,2,2,16,19
9H-MLV,3,2,178,,,57,4,4,9,13
9H-SWD,3,3,178,,,60,4,4,14,17
XA-VAX,3,1,186,,,62,4,4,13,16
XA-VYE,3,3,180,,,66,3,3,7,10
XA-VBQ,3,1,220,,,64,3,3,13,16
XA-VIA,3,3,186,,,66,1,1,7,10
9H-SWJ,3,1,178,,,58,1,1,15,18
XA-VCC,3,1,230,,,58,2,2,10,13
XA-VAN,3,1,186,,,64,3,3,23,2
XA-VBX,3,1,240,,,64,3,3,8,11
9H-AML,3,1,178,,,58,4,4,18,21
9H-AMM,3,1,178,,,58,3,3,19,22
XA-VXO,3,1,240,,,64,1,1,13,16
XA-VAK,3,3,186,,,63,1,1,11,14
XA-VAX,3,1,186,,,68,1,1,12,16
XA-VAT,3,3,186,,,59,1,1,16,20
XA-VAW,3,3,186,,,61,1,1,10,12
XA-VXK,3,1,240,,,64,2,2,7,10
XA-VBM,3,1,240,,,62,3,3,20,23
XA-VAE,3,1,186,,,64,2,2,23,2
XA-VBM,3,1,240,,,64,4,4,16,19
XA-VAA,3,1,186,,,58,4,4,9,12
XA-VAN,3,1,186,,,62,3,3,13,16
XA-VIN,3,1,186,,,62,4,4,16,19
XA-VIN,3,3,186,,,67,4,4,20,22
XA-VIY,3,3,186,,,67,2,2,20,23
XA-VAP,3,3,186,,,66,2,2,19,22
9H-SWD,3,3,178,,,60,4,4,14,17
XA-VIK,3,3,186,,,66,2,2,7,10
XA-VAP,3,1,186,,,62,4,4,7,10
XA-VAY,3,1,186,,,64,2,3,23,2
XA-VAM,3,3,180,,,59,1,1,15,19
XA-VAQ,3,1,186,,,62,3,3,19,22
XA-VIU,3,1,186,,,62,2,2,17,20
XA-VAM,3,3,180,,,66,1,1,19,22
XA-VAJ,3,3,186,,,61,2,2,19,22
XA-VAY,3,1,186,,,62,3,3,13,16
XA-VBV,3,1,220,,,58,4,4,10,13
XA-VBP,3,1,220,,,64,1,1,18,22
XA-VXG,3,1,240,,,58,1,1,17,21
XA-VYF,3,3,180,,,67,3,3,17,19
XA-VAM,3,3,180,,,63,2,2,11,14
9H-SWD,3,3,178,,,61,4,4,9,11
9H-SWJ,3,1,178,,,58,4,4,17,20
XA-VIL,3,1,186,,,62,3,3,17,20
9H-AML,3,1,178,,,58,4,4,8,11
9H-SWG,3,1,178,,,62,4,4,9,12
XA-VBZ,3,3,236,,,72,2,2,8,12
XA-VAW,3,3,186,,,61,3,3,19,22
XA-VYE,3,3,180,,,63,4,4,11,13
XA-VII,3,3,186,,,60,1,1,16,19
XA-VXA,3,2,240,,,57,2,2,8,13
XA-VXO,3,1,240,,,64,3,3,13,16
XA-VAQ,3,1,186,,,58,3,3,16,19
XA-VIH,3,1,186,,,62,1,1,11,14
XA-VAX,3,3,186,,,60,3,3,16,19
XA-VYF,3,5,180,,,65,3,3,15,18
XA-VAN,3,1,186,,,58,3,3,16,19
XA-VAK,3,3,186,,,67,1,1,8,11
XA-VIY,3,3,186,,,59,1,1,17,20
9H-AMV,3,2,178,,,57,3,3,9,13
9H-SWC,3,1,178,,,68,2,2,12,16
XA-VXL,3,1,240,,,64,4,4,17,21
XA-VXE,3,2,240,,,57,1,1,8,13
XA-VBP,3,1,220,,,64,2,2,18,22
XA-VXI,3,1,240,,,64,3,3,11,14
XA-VXB,3,2,240,,,57,1,1,8,13
XA-VAT,3,1,186,,,64,1,1,8,11
XA-VIL,3,3,186,,,60,3,3,16,19
9H-AML,3,1,178,,,58,4,4,8,11
XA-VYA,3,1,180,,,62,1,1,11,14
XA-VAK,3,3,186,,,63,3,3,11,14
9H-SWA,3,2,178,,,57,3,3,8,13
XA-VBX,3,1,240,,,58,4,4,7,11
XA-VXD,3,2,240,,,57,2,2,8,13
XA-VIX,3,1,186,,,64,3,4,23,2
XA-VXE,3,1,240,,,64,4,4,7,10
XA-VAT,3,1,186,,,64,1,1,20,23
XA-VAA,3,3,186,,,66,3,3,19,22
XA-VAY,3,1,186,,,62,3,3,17,20
XA-VAP,3,1,186,,,62,4,4,19,22
9H-SWB,3,1,178,,,62,3,3,11,14
XA-VBP,3,1,220,,,64,4,4,11,14
XA-VAK,3,3,186,,,63,2,2,11,14
9H-SWI,3,1,178,,,68,2,2,12,16
XA-VXF,3,1,240,,,58,4,4,10,13
XA-VAX,3,3,186,,,66,2,2,19,22
XA-VAN,3,3,186,,,59,2,2,15,19
XA-VXO,3,2,240,,,70,2,2,8,15
9H-SWJ,3,3,178,,,60,4,4,14,17
XA-VXD,3,1,240,,,64,3,3,13,16
XA-VAO,3,1,186,,,62,5,5,16,19
XA-VAT,3,1,186,,,58,5,5,14,18
XA-VAK,3,1,186,,,68,4,4,12,16
XA-VXP,3,2,240,,,70,1,1,8,15
XA-VXN,3,1,240,,,64,1,1,18,22
XA-VYF,3,1,180,,,58,1,1,16,19
XA-VAR,3,1,186,,,58,1,1,13,17
XA-VAK,3,5,186,,,65,1,1,16,18
XA-VXG,3,1,240,,,64,1,1,11,14
9H-SWB,3,1,178,,,62,3,3,11,14
XA-VAQ,3,1,186,,,62,3,3,13,16
XA-VBH,3,3,240,,,67,1,1,12,14
9H-SWJ,3,3,178,,,61,5,5,9,11
XA-VAY,3,3,186,,,61,4,4,18,21
XA-VAV,3,1,186,,,64,4,4,8,12
XA-VXI,3,1,240,,,64,3,3,11,14
XA-VAT,3,1,186,,,68,3,3,17,21
XA-VAM,3,1,180,,,62,1,1,17,20
XA-VAJ,3,3,186,,,66,1,1,19,22
XA-VXI,3,1,240,,,64,1,1,13,16
XA-VXH,3,3,240,,,72,3,3,8,12
XA-VAA,3,1,186,,,62,4,4,16,19
XA-VYF,3,3,180,,,61,1,1,18,21
XA-VAR,3,1,186,,,62,3,3,15,18
XA-VCC,3,1,230,,,64,4,4,7,10
XA-VAY,3,1,186,,,64,3,3,23,2
XA-VAY,3,1,186,,,64,3,3,1,5
9H-MLV,3,2,178,,,57,4,4,9,13
XA-VAN,3,3,186,,,61,1,1,23,2
9H-SWD,3,1,178,,,58,4,4,11,14
9H-SWC,3,1,178,,,68,3,3,12,16
XA-VYF,3,1,180,,,58,3,3,16,19
XA-VBQ,3,1,220,,,64,4,4,16,19
9H-AMJ,3,1,178,,,58,4,4,14,17
XA-VBW,3,2,220,,,57,3,3,9,13
XA-VYB,3,1,180,,,64,3,3,8,11
9H-SWB,3,1,178,,,58,1,1,13,17
XA-VCC,3,1,230,,,64,3,3,11,14
9H-AML,3,1,178,,,58,4,4,18,21
XA-VAM,3,3,180,,,60,1,1,16,19
XA-VXD,3,1,240,,,58,5,5,13,16
XA-VBI,3,1,220,,,64,1,1,11,14
XA-VXR,3,1,240,,,58,3,3,10,13
XA-VYE,3,1,180,,,58,3,3,15,18
9H-SWF,3,1,178,,,68,4,4,17,21
XA-VIX,3,1,186,,,62,4,4,7,10
9H-SWG,3,3,178,,,56,4,4,21,24
9H-SWD,3,3,178,,,56,5,5,21,24
XA-VIY,3,3,186,,,59,2,2,15,19
XA-VAK,3,3,186,,,66,3,3,19,22
XA-VAU,3,3,186,,,67,4,4,20,22
XA-VBK,3,1,240,,,64,1,1,13,16
XA-VAX,3,1,186,,,58,4,4,7,11
XA-VXF,3,2,240,,,70,2,2,8,15
XA-VIS,3,1,186,,,58,3,3,20,24
XA-VIS,3,5,186,,,65,3,3,15,18
XA-VIL,3,3,186,,,67,2,2,20,23
XA-VYF,3,3,180,,,61,3,3,10,12
XA-VAO,3,3,186,,,66,3,3,19,22
XA-VAI,3,3,180,,,61,3,3,19,22
9H-AMP,3,1,178,,,58,2,2,7,10
XA-VIS,3,1,186,,,68,1,1,12,16
XA-VAA,3,1,186,,,64,3,3,9,13
9H-SWJ,3,1,178,,,64,4,4,9,12
XA-VXL,3,1,240,,,64,4,4,17,21
XA-VBP,3,1,220,,,58,4,4,10,13
XA-VAI,3,1,180,,,64,4,4,7,10
XA-VIS,3,3,186,,,61,1,1,10,12
XA-VII,3,1,186,,,62,3,3,20,23
XA-VBT,3,3,220,,,66,4,4,7,10
XA-VXO,3,1,240,,,64,2,2,7,10
XA-VBH,3,1,240,,,58,1,1,11,15
XA-VBV,3,1,220,,,64,3,3,11,14
XA-VAY,3,1,186,,,62,3,3,17,20
9H-MLY,3,1,178,,,58,2,2,17,21
9H-SWJ,3,1,178,,,58,2,2,13,17
XA-VAX,3,2,186,,,70,1,1,23,6
9H-MLV,3,1,178,,,58,4,4,18,21
XA-VBW,3,3,220,,,72,1,1,8,12
XA-VAO,3,1,186,,,58,1,1,16,19
9H-SWG,3,1,178,,,62,4,4,9,12
XA-VBH,3,3,240,,,72,1,1,8,12
9H-AMJ,3,1,178,,,58,5,5,8,11
XA-VAW,3,1,186,,,62,3,3,17,20
XA-VYD,3,3,180,,,59,2,2,15,19
XA-VAU,3,3,186,,,63,4,4,11,13
XA-VAV,3,1,186,,,58,4,4,17,20
9H-AMV,3,1,178,,,58,3,3,13,17
XA-VXN,3,1,240,,,64,3,3,11,14
XA-VBK,3,1,240,,,64,1,1,11,14
XA-VBN,3,2,220,,,70,1,1,8,15
9H-SWG,3,3,178,,,61,4,4,19,21
XA-VBM,3,1,240,,,64,3,3,8,11
XA-VAA,3,1,186,,,64,1,1,7,10
9H-MLY,3,1,178,,,58,2,2,7,10
XA-VCC,3,1,230,,,64,3,3,13,16
XA-VBN,3,1,220,,,64,3,3,18,22
XA-VIX,3,1,186,,,62,3,3,20,23
XA-VYD,3,1,180,,,64,1,1,20,23
XA-VIP,3,1,186,,,64,1,1,9,13
XA-VIU,3,1,186,,,64,3,3,9,13
XA-VXC,3,2,240,,,57,1,1,8,13
XA-VAC,3,3,180,,,66,2,2,7,10
XA-VAP,3,1,186,,,64,2,2,23,2
XA-VAU,3,1,186,,,64,1,1,8,11
XA-VAM,3,1,180,,,62,1,1,13,16
9H-SWD,3,3,178,,,61,4,4,9,11
XA-VAJ,3,5,186,,,65,2,2,15,17
9H-SWJ,3,1,178,,,58,3,3,19,22
XA-VYA,3,3,180,,,66,2,2,19,22
9H-MLY,3,1,178,,,58,2,2,15,19
9H-AMJ,3,3,178,,,69,5,5,9,13
9H-SWB,3,1,178,,,58,2,2,7,10
9H-MLU,3,1,178,,,68,4,4,17,21
9H-SWJ,3,1,178,,,58,4,4,11,14
XA-VAE,3,3,186,,,61,2,2,10,12
XA-VXC,3,1,240,,,58,4,4,10,13
9H-AMM,3,2,178,,,57,3,3,9,13
9H-SWM,3,1,178,,,58,2,2,19,22
XA-VAE,3,3,186,,,56,2,2,21,24
9H-MLV,3,2,178,,,57,3,3,9,13
XA-VAV,3,3,186,,,61,2,2,10,12
XA-VAN,3,3,186,,,66,2,2,19,22
XA-VBJ,3,1,220,,,58,4,4,10,13
XA-VCC,3,1,230,,,64,3,3,18,22
XA-VAU,3,5,186,,,65,4,4,17,19
XA-VAU,3,1,186,,,62,2,2,17,20
XA-VBH,3,1,240,,,58,1,1,17,21
XA-VAN,3,1,186,,,64,3,3,24,3
XA-VYF,3,3,180,,,69,1,1,9,13
XA-VAO,3,5,186,,,65,2,2,15,18
9H-AMP,3,2,178,,,57,4,4,9,13
XA-VAU,3,3,186,,,66,3,3,19,22
XA-VAC,3,3,180,,,72,4,4,10,14
XA-VAT,3,1,186,,,64,1,1,20,23
XA-VAO,3,3,186,,,63,5,5,11,13
XA-VIL,3,1,186,,,64,3,3,23,2
XA-VIM,3,1,186,,,64,1,1,8,11
XA-VYF,3,3,180,,,63,4,4,11,13
9H-SWG,3,3,178,,,61,4,4,19,21
XA-VAX,3,3,186,,,60,4,4,10,13
XA-VYF,3,3,180,,,72,2,2,8,12
XA-VXD,3,1,240,,,64,4,4,5,8
XA-VAI,3,1,180,,,62,3,3,14,17
XA-VIN,3,1,186,,,58,4,4,8,11
XA-VYE,3,3,180,,,59,3,3,15,19
XA-VIY,3,1,186,,,62,3,3,9,12
XA-VAA,3,3,186,,,60,1,1,10,14
XA-VCC,3,3,230,,,69,3,3,10,14
XA-VIK,3,1,186,,,62,2,2,11,14
XA-VBX,3,3,240,,,72,1,1,8,12
XA-VXP,3,3,240,,,66,4,4,19,22
9H-SWG,3,1,178,,,62,5,5,9,12
9H-AMM,3,1,178,,,58,4,4,18,21
XA-VBK,3,2,240,,,70,1,1,8,15
XA-VIH,3,1,186,,,58,1,1,10,13
9H-SWJ,3,1,178,,,58,2,2,13,17
9H-SWJ,3,3,178,,,60,4,4,14,17
XA-VAP,3,1,186,,,64,1,1,20,23
XA-VBU,3,1,220,,,64,3,3,20,23
9H-AMP,3,1,178,,,58,3,3,13,17
9H-AMJ,3,1,178,,,58,4,4,18,21
XA-VBX,3,3,240,,,66,5,5,19,22
XA-VIX,3,1,186,,,64,3,3,20,23
XA-VIP,3,3,186,,,61,2,2,19,22
XA-VIU,3,3,186,,,61,1,1,18,21
9H-SWJ,3,1,178,,,58,4,4,11,14
XA-VIE,3,1,186,,,62,2,2,20,23
XA-VAA,3,1,186,,,64,4,4,8,12
XA-VIY,3,3,186,,,72,4,4,10,14
XA-VIS,3,3,186,,,61,1,1,10,12
XA-VAN,3,1,186,,,64,4,4,23,2
9H-SWD,3,3,178,,,73,4,4,20,24
XA-VXP,3,3,240,,,66,4,4,7,10
XA-VIY,3,1,186,,,68,1,1,12,16
XA-VAI,3,3,180,,,66,1,1,19,22
9H-AMP,3,2,178,,,57,4,4,9,13
XA-VIP,3,1,186,,,62,2,2,20,23
XA-VAV,3,3,186,,,72,3,3,8,12
XA-VXL,3,1,240,,,64,4,4,7,10
XA-VXF,3,1,240,,,64,2,2,18,22
XA-VXK,3,1,240,,,64,4,4,7,10
XA-VBJ,3,1,220,,,64,1,1,18,22
XA-VXD,3,2,240,,,70,3,3,9,15
XA-VAE,3,1,186,,,64,2,2,9,13
XA-VBX,3,3,240,,,66,4,4,7,10
9H-SWF,3,1,178,,,68,1,1,12,16
XA-VIX,3,1,186,,,68,1,1,17,21
XA-VAE,3,1,186,,,64,2,2,23,2
XA-VXK,3,2,240,,,70,3,3,8,15
XA-VAO,3,1,186,,,62,1,1,17,20
9H-SWD,3,1,178,,,58,3,3,19,22
9H-SWG,3,3,178,,,60,4,4,14,17
XA-VIS,3,3,186,,,67,3,3,20,23
XA-VAI,3,1,180,,,68,3,3,17,21
XA-VXI,3,2,240,,,70,3,3,9,15
XA-VBW,3,1,220,,,68,1,1,17,21
XA-VYF,3,1,180,,,64,3,3,23,2
9H-AMM,3,1,178,,,58,4,4,18,21
XA-VII,3,3,186,,,61,1,1,18,21
9H-AMJ,3,1,178,,,58,4,4,8,11
XA-VIY,3,1,186,,,62,1,1,11,14
XA-VXH,3,2,240,,,70,3,3,9,15
9H-AMM,3,2,178,,,57,3,3,8,13
XA-VXC,3,3,240,,,66,4,4,19,22
XA-VAV,3,3,186,,,60,2,2,16,19
XA-VAW,3,5,186,,,65,1,1,15,18
XA-VIL,3,1,186,,,58,1,1,12,15
XA-VAV,3,3,186,,,59,1,1,15,19
XA-VYE,3,1,180,,,62,4,4,16,19
9H-AMV,3,1,178,,,58,1,1,17,21
XA-VXF,3,1,240,,,64,3,3,13,16
XA-VAR,3,1,180,,,58,5,5,14,17
XA-VBU,3,1,220,,,58,4,4,9,12
XA-VIP,3,1,186,,,58,4,4,10,13
XA-VAK,3,1,186,,,58,3,3,12,15
XA-VBS,3,1,240,,,58,1,1,13,17
XA-VAP,3,1,186,,,64,1,1,8,11
XA-VYF,3,3,180,,,67,3,3,20,23
XA-VAP,3,1,186,,,62,3,3,20,23
XA-VIN,3,1,186,,,58,4,4,10,13
XA-VIL,3,3,186,,,61,2,2,10,12
XA-VXF,3,1,240,,,64,2,2,13,16
XA-VXL,3,2,240,,,70,4,4,9,16
XA-VXN,3,1,240,,,58,1,1,7,10
XA-VIU,3,3,186,,,66,2,2,7,10
XA-VXE,3,3,240,,,69,1,1,9,13
9H-SWF,3,1,178,,,68,2,2,12,16
XA-VBQ,3,2,220,,,57,2,2,8,13
XA-VIX,3,1,186,,,62,4,4,19,22
9H-AMM,3,3,178,,,69,4,4,9,13
XA-VAX,3,1,186,,,58,1,1,16,19
XA-VAV,3,3,186,,,67,4,4,20,22
9H-MLV,3,2,178,,,57,4,4,9,13
9H-MLV,3,1,178,,,58,2,2,17,21
XA-VBU,3,3,220,,,69,2,2,10,14
XA-VXL,3,1,240,,,64,4,4,16,19
XA-VAY,3,5,186,,,65,3,3,17,20
XA-VAQ,3,3,186,,,66,1,1,7,10
XA-VBQ,3,1,220,,,58,5,5,9,13
XA-VAQ,3,3,186,,,67,4,4,20,22
XA-VXE,3,1,240,,,64,4,4,11,14
9H-AMV,3,1,178,,,58,3,3,7,10
XA-VAM,3,1,180,,,58,1,1,16,19
XA-VAY,3,3,186,,,60,3,3,16,19
XA-VCC,3,3,230,,,69,3,3,10,14
9H-SWF,3,1,178,,,68,4,4,17,21
XA-VAJ,3,1,186,,,62,1,1,13,16
XA-VYF,3,1,180,,,62,4,4,7,10
XA-VIP,3,1,186,,,62,2,2,20,23
XA-VAT,3,1,186,,,64,1,1,8,11
XA-VAP,3,3,186,,,67,3,3,10,13
XA-VIS,3,3,186,,,61,1,1,18,21
XA-VXK,3,1,240,,,64,2,2,11,14
9H-AMP,3,1,178,,,58,3,3,7,10
XA-VBR,3,3,240,,,69,1,1,9,13
XA-VAK,3,1,186,,,64,1,1,23,2
XA-VAN,3,3,186,,,61,3,3,9,12
XA-VBV,3,1,220,,,58,1,1,7,10
9H-AMP,3,2,178,,,57,3,3,9,13
XA-VAY,3,1,186,,,58,3,3,16,19
9H-MLC,3,1,178,,,68,4,4,7,11
9H-SWD,3,3,178,,,60,4,4,14,17
9H-SWB,3,1,178,,,58,2,2,17,21
XA-VAV,3,3,186,,,61,2,2,10,12
XA-VIK,3,1,186,,,68,1,1,12,16
9H-SWM,3,1,186,,,58,1,1,13,17
XA-VIU,3,5,186,,,65,2,2,15,18
XA-VAM,3,3,180,,,66,2,2,7,10
XA-VAO,3,1,186,,,64,1,1,9,13
XA-VBU,3,2,220,,,70,4,4,9,16
XA-VBM,3,1,240,,,64,4,4,17,21
XA-VAA,3,1,186,,,64,3,3,24,3
XA-VII,3,3,186,,,67,1,1,20,23
9H-SWD,3,3,178,,,61,4,4,9,11
9H-AMV,3,1,178,,,58,4,4,14,17
XA-VXF,3,1,240,,,64,2,2,10,14
XA-VBZ,3,1,236,,,64,2,2,18,22
XA-VBM,3,1,240,,,58,1,1,19,22
XA-VIX,3,1,186,,,62,4,4,13,16
XA-VXL,3,2,240,,,57,1,1,8,13
XA-VBH,3,2,240,,,70,2,2,8,15
XA-VII,3,1,186,,,64,3,3,20,23
9H-SWJ,3,3,178,,,61,4,4,19,21
XA-VAQ,3,1,186,,,62,2,2,13,16
XA-VAY,3,1,186,,,64,2,2,8,11
XA-VIU,3,1,186,,,62,2,2,13,16
XA-VXK,3,1,240,,,64,1,1,13,16
XA-VIE,3,1,186,,,64,3,3,11,14
XA-VAK,3,1,186,,,64,1,1,23,2
XA-VII,3,1,186,,,64,2,2,20,23
XA-VYB,3,1,180,,,64,1,1,20,23
XA-VXF,3,1,240,,,64,2,2,7,10
XA-VAJ,3,1,186,,,62,3,3,14,17
XA-VBI,3,1,220,,,58,1,1,10,13
XA-VAN,3,3,186,,,61,3,3,19,22
XA-VBX,3,1,240,,,58,2,2,10,13
XA-VYA,3,1,180,,,64,3,3,8,11
XA-VXD,3,3,240,,,69,1,1,9,13
XA-VAV,3,3,186,,,72,3,3,8,12
XA-VIP,3,1,186,,,68,1,1,17,21
